1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, LA)","GE RUNOFF ELECTION % (GA, LA)",COMBINED GE PARTY TOTALS (when applicable),COMBINED % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,
156,IA,Iowa,S,n/a,,,,,Party Votes:,D,"276,692",,,,,,,,,,,,,,
157,IA,Iowa,S,S4IA00194,,Rick,Stewart,"Stewart, Rick",,LIB,,,,,"36,961",2.21%,,,,,,,,,
158,IA,Iowa,S,S0IA00184,,Suzanne,Herzog,"Herzog, Suzanne",,NPY,,,,,"13,800",0.83%,,,,,,,,,
159,IA,Iowa,S,n/a,,,Scattered,Scattered,,W,,,,,"1,211",0.07%,,,,,,,,,
160,IA,Iowa,S,n/a,,,,,Total State Votes:,,"506,413",,,,"1,671,828",,,,,,,,,,
161,,,,n/a,,,,,,,,,,,,,,,,,,,,,
162,KS,Kansas,S,S0KS00315,,Roger,Marshall,"Marshall, Roger",,R,"167,800",40.28%,,,"727,962",53.22%,,,,,W,W,,,
163,KS,Kansas,S,S0KS00257,,Kris,Kobach,"Kobach, Kris",,R,"108,726",26.10%,,,,,,,,,,,,,
164,KS,Kansas,S,S0KS00349,,Bob,Hamilton,"Hamilton, Bob",,R,"77,952",18.71%,,,,,,,,,,,,,
165,KS,Kansas,S,S0KS00240,,David Alan,Lindstrom,"Lindstrom, David Alan",,R,"27,451",6.59%,,,,,,,,,,,,,
166,KS,Kansas,S,S0KS00406,,Steve,Roberts,"Roberts, Steve",,R,"8,141",1.95%,,,,,,,,,,,,,
167,KS,Kansas,S,S0KS00331,,Brian,Matlock,"Matlock, Brian",,R,"7,083",1.70%,,,,,,,,,,,,,
168,KS,Kansas,S,S0KS00372,,Lance,Berland,"Berland, Lance",,R,"6,404",1.54%,,,,,,,,,,,,,
169,KS,Kansas,S,S0KS00364,,John,Miller,"Miller, John",,R,"4,431",1.06%,,,,,,,,,,,,,
170,KS,Kansas,S,"S0KS00398
",,Derek C.,Ellis,"Ellis, Derek C.",,R,"3,970",0.95%,,,,,,,,,,,,,
171,KS,Kansas,S,"S0KS00414
",,Gabriel Mark,Robles,"Robles, Gabriel Mark",,R,"3,744",0.90%,,,,,,,,,,,,,
172,KS,Kansas,S,"S0KS00380
",,John L.,Berman,"Berman, John L.",,R,861,0.21%,,,,,,,,,,,,,
173,KS,Kansas,S,n/a,,,,,Party Votes:,R,"416,563",,,,,,,,,,,,,,
174,KS,Kansas,S,S0KS00323,,Barbara,Bollier,"Bollier, Barbara",,D,"168,759",85.34%,,,"571,530",41.79%,,,,,W,,,,
175,KS,Kansas,S,S0KS00265,,Robert Leon,Tillman,"Tillman, Robert Leon",,D,"28,997",14.66%,,,,,,,,,,,,,
176,KS,Kansas,S,n/a,,,,,Party Votes:,D,"197,756",,,,,,,,,,,,,,
177,KS,Kansas,S,S0KS00356,,Jason,Buckley,"Buckley, Jason",,LIB,*,,,,"68,263",4.99%,,,,,*,,"*  The Libertarian Party nominated by convention on April 18, 2020.  Convention nominee is noted with an asterisk.",,
178,KS,Kansas,S,n/a,,,,,Total State Votes:,,"614,319",,,,"1,367,755",,,,,,,,,,
179,,,,n/a,,,,,,,,,,,,,,,,,,,,,
180,KY,Kentucky,S,S2KY00012,(I),Mitch,McConnell,"McConnell, Mitch",,R,"342,660",82.80%,,,"1,233,315",57.76%,,,,,W,W,,,
181,KY,Kentucky,S,S0KY00297,,C. Wesley,Morgan,"Morgan, C. Wesley",,R,"25,588",6.18%,,,,,,,,,,,,,
182,KY,Kentucky,S,S0KY00503,,Louis,Grider,"Grider, Louis",,R,"13,771",3.33%,,,,,,,,,,,,,
183,KY,Kentucky,S,S0KY00347,,Paul John,Frangedakis,"Frangedakis, Paul John",,R,"11,957",2.89%,,,,,,,,,,,,,
184,KY,Kentucky,S,S0KY00461,,Naren ,James,"James, Naren ",,R,"10,693",2.58%,,,,,,,,,,,,,
185,KY,Kentucky,S,"S0KY00479
",,Kenneth,Lowndes,"Lowndes, Kenneth",,R,"5,548",1.34%,,,,,,,,,,,,,
186,KY,Kentucky,S,S0KY00453,,Nicholas,Alsager,"Alsager, Nicholas",,R,"3,603",0.87%,,,,,,,,,,,,,
187,KY,Kentucky,S,n/a,,,,,Party Votes:,R,"413,820",,,,,,,,,,,,,,
188,KY,Kentucky,S,S0KY00339,,Amy,McGrath,"McGrath, Amy",,D,"247,037",45.41%,,,"816,257",38.23%,,,,,W,,,,
189,KY,Kentucky,S,S0KY00420,,Charles,Booker,"Booker, Charles",,D,"231,888",42.62%,,,,,,,,,,,,,
190,KY,Kentucky,S,S0KY00321,,Mike,Broihier,"Broihier, Mike",,D,"27,175",4.99%,,,,,,,,,,,,,
191,KY,Kentucky,S,S0KY00438,,Mary Ann,Tobin,"Tobin, Mary Ann",,D,"11,108",2.04%,,,,,,,,,,,,,
192,KY,Kentucky,S,"S0KY00487
",,Maggie Jo,Hilliard,"Hilliard, Maggie Jo",,D,"6,224",1.14%,,,,,,,,,,,,,
193,KY,Kentucky,S,S0KY00289,,Andrew J.,Maynard,"Maynard, Andrew J.",,D,"5,974",1.10%,,,,,,,,,,,,,
