1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,,,,
97,AZ,Arizona,04,n/a,,,,,Party Votes:,D,"46,200",,,,,,,,,,,,,,,,,
98,AZ,Arizona,04,H0AZ04550,,Brett,Brennan,"Brennan, Brett",,W,,,,,67,0.02%,,,,,,,,,,,,
99,AZ,Arizona,04,H8AZ04132,,Ana,Perez Gissy,"Perez Gissy, Ana",,W,,,,,39,0.01%,,,,,,,,,,,,
100,AZ,Arizona,04,H0AZ04568,,Miko,Jones,"Jones, Miko",,W,,,,,19,0.00%,,,,,,,,,,,,
101,AZ,Arizona,04,H0AZ04527,,Emily,Robinson,"Robinson, Emily",,W,,,,,7,0.00%,,,,,,,,,,,,
102,AZ,Arizona,04,n/a,,Don,Overholser,"Overholser, Don",,W,,,,,5,0.00%,,,,,,,,,,,,
103,AZ,Arizona,04,n/a,,,,,District Votes:,,"176,694",,,,"398,623",,,,,,,,,,,,,
104,AZ,Arizona,05,H6AZ05083,(I),Andy,Biggs,"Biggs, Andy",,R,"104,969",99.56%,,,"262,414",58.88%,,,,,W,W,,,,,,
105,AZ,Arizona,05,	H0AZ05193 ,,Joe,Vess,"Vess, Joe",,W(R),465,0.44%,,,,,,,,,,,,,,,,
106,AZ,Arizona,05,n/a,,,,,Party Votes:,R,"105,434",,,,,,,,,,,,,,,,,
107,AZ,Arizona,05,H8AZ05154 ,,Joan,Greene,"Greene, Joan",,D,"34,090",50.04%,,,"183,171",41.10%,,,,,W,,,,,,,
